time,Tsurf,Psurf,cloud,vapour,u_wind,v_wind,dust,temp
2017-03-26 09:17:47,0.3612733,0.49912405,0.010486126,0.26381874,0.48560047,0.43658972,0.09296751,0.50754833
2017-03-26 11:21:01,0.2705884,0.5198426,0.012302399,0.2653613,0.5453315,0.48169088,0.09752512,0.49705076
2017-03-26 13:24:15,0.21015024,0.5356636,-0.009742737,0.26304913,0.5997882,0.5012126,0.0943737,0.52987814
2017-03-26 15:27:29,0.17502737,0.5506072,-0.0085635185,0.26498795,0.61548305,0.5384457,0.09293747,0.58936405
2017-03-26 17:30:43,0.14024091,0.56189704,-0.013171673,0.26192784,0.62488127,0.60246015,0.090703964,0.61545706
2017-03-26 19:33:57,0.13687646,0.54328156,-0.015200496,0.26271474,0.6263523,0.6427753,0.09248823,0.5920374
2017-03-26 21:37:11,0.2211932,0.5839568,0.0011630235,0.26190758,0.60650384,0.6727007,0.08977842,0.55706775
2017-03-26 23:40:25,0.5721127,0.56109023,0.013328075,0.2585876,0.71066046,0.7371106,0.085730314,0.52301764
2017-03-27 01:43:39,0.8209884,0.5317781,0.00828886,0.25085783,0.5056336,0.63156176,0.09504604,0.49490118
2017-03-27 03:46:53,0.9015024,0.46039057,-0.011523724,0.24416637,0.53860617,0.5498214,0.0823679,0.48718166
2017-03-27 05:50:07,0.80744743,0.42051315,-0.013602257,0.23322248,0.53810453,0.43188477,0.07960224,0.48969936
2017-03-27 07:53:21,0.5544338,0.39916134,-0.010579109,0.23332119,0.5150986,0.36836433,0.06160164,0.47784996
2017-03-27 09:56:35,0.35703564,0.49553013,0.007024288,0.2608633,0.48012924,0.43888807,0.09224129,0.50435066
2017-03-27 11:59:49,0.26822853,0.51695824,0.01076746,0.2627368,0.5405898,0.48327684,0.09654379,0.49382782
2017-03-27 14:03:03,0.20902205,0.5325928,-0.010708809,0.26040506,0.59588003,0.5030298,0.09387827,0.527895
2017-03-27 16:06:17,0.17458153,0.5483699,-0.011041641,0.26264286,0.6096616,0.54113674,0.09290218,0.5892515
