time,Tsurf,Psurf,cloud,vapour,u_wind,v_wind,dust,temp
2018-06-05 22:11:01,0.31357062,0.4044603,0.0083383685,0.3029641,0.54147774,0.49888405,0.109209284,0.5787339
2018-06-06 00:14:15,0.26040113,0.48342603,0.01187423,0.33236408,0.600813,0.5622895,0.10431624,0.59474576
2018-06-06 02:17:29,0.22200923,0.52405876,0.008751567,0.3362615,0.6340331,0.63886493,0.12604122,0.6760838
2018-06-06 04:20:43,0.19723234,0.4932885,0.011924695,0.33361858,0.6399776,0.65513337,0.12995481,0.6891951
2018-06-06 06:23:57,0.16679007,0.3770736,0.00994359,0.30523357,0.6358023,0.6636025,0.116841726,0.6554574
2018-06-06 08:27:11,0.2183576,0.33993754,0.012413152,0.3080598,0.6140005,0.7188695,0.09874843,0.5915642
2018-06-06 10:30:25,0.57974267,0.39171726,0.021958865,0.3060407,0.56489533,0.8173166,0.10063803,0.56170815
2018-06-06 12:33:39,0.8653932,0.36489862,0.01695951,0.32189137,0.3852691,0.7821632,0.12445096,0.53120327
2018-06-06 14:36:53,0.95067614,0.34233463,0.017385285,0.3041875,0.37488174,0.6626467,0.1331361,0.55080605
2018-06-06 16:40:07,0.841328,0.22855215,0.013277337,0.2679246,0.44335562,0.5535743,0.14242053,0.6260196
2018-06-06 18:43:21,0.6123814,0.21894744,0.008316724,0.27476358,0.46176267,0.4518708,0.13814414,0.6262498
2018-06-06 20:46:35,0.43527254,0.38467845,0.006833732,0.30948856,0.4218214,0.4084512,0.13943084,0.5937297
2018-06-06 22:49:49,0.31775215,0.4086119,0.009837134,0.29734543,0.539039,0.50510836,0.10506387,0.5641085
2018-06-07 00:53:03,0.26237997,0.48828757,0.01225582,0.33272257,0.5916146,0.56077206,0.10171623,0.58136153
2018-06-07 02:56:17,0.2225374,0.5253177,0.010271043,0.33705467,0.62519956,0.6353059,0.12217581,0.65879583
